no	n o |
listas	l i s t a s |
pesas	p e s a s |
roba	r o b a |
casado	c a s a d o |
espanyol	e s p a n y o l |
fútbol	f ú t b o l |
ministro	m i n i s t r o |
alejaré	a l e j a r é |
ciertos	c i e r t o s |
casar	c a s a r |
eches	e c h e s |
adonde	a d o n d e |
inclina	i n c l i n a |
camina	c a m i n a |
desanimado	d e s a n i m a d o |
discúlpenme	d i s c ú l p e n m e |
música	m ú s i c a |
fieras	f i e r a s |
sebastián	s e b a s t i á n |
cuarteto	c u a r t e t o |
escalera	e s c a l e r a |
texto	t e x t o |
letras	l e t r a s |
chocolate	c h o c o l a t e |
mosca	m o s c a |
sopa	s o p a |
ocultaba	o c u l t a b a |
protocolos	p r o t o c o l o s |
confianza	c o n f i a n z a |
despacio	d e s p a c i o |
estaremos	e s t a r e m o s |
superstición	s u p e r s t i c i ó n |
presentimiento	p r e s e n t i m i e n t o |
motivo	m o t i v o |
tuvieras	t u v i e r a s |
cirujana	c i r u j a n a |
veterinario	v e t e r i n a r i o |
pupitres	p u p i t r e s |
sentarse	s e n t a r s e |
manualidades	m a n u a l i d a d e s |
clase	c l a s e |
hicimos	h i c i m o s |
obra	o b r a |
justicia	j u s t i c i a |
archivado	a r c h i v a d o |
capellanes	c a p e l l a n e s |
paloma	p a l o m a |
basilio	b a s i l i o |
otorgué	o t o r g u é |
liberal	l i b e r a l |
volvióse	v o l v i ó s e |
dormidas	d o r m i d a s |
sobra	s o b r a |
críe	c r í e |
can	c a n |
exámen	e x á m e n |
investiga	i n v e s t i g a |
indicios	i n d i c i o s |
delito	d e l i t o |
concejo	c o n c e j o |
blanco	b l a n c o |
zurdo	z u r d o |
linares	l i n a r e s |
selección	s e l e c c i ó n |
nacional	n a c i o n a l |
u	u |
estorba	e s t o r b a |
alquilaremos	a l q u i l a r e m o s |
principito	p r i n c i p i t o |
inventado	i n v e n t a d o |
criaban	c r i a b a n |
afueras	a f u e r a s |
ribes	r i b e s |
manso	m a n s o |
montura	m o n t u r a |
app	a p p |
útil	ú t i l |
turistas	t u r i s t a s |
alemanes	a l e m a n e s |
lloverá	l l o v e r á |
convoca	c o n v o c a |
ponte	p o n t e |
tren	t r e n |
liebre	l i e b r e |
apuesto	a p u e s t o |
tiarrón	t i a r r ó n |
muere	m u e r e |
caben	c a b e n |
trabajador	t r a b a j a d o r |
azadón	a z a d ó n |
productos	p r o d u c t o s |
celíacos	c e l í a c o s |
invernales	i n v e r n a l e s |
premio	p r e m i o |
gorjeó	g o r j e ó |
estribillo	e s t r i b i l l o |
canción	c a n c i ó n |
salado	s a l a d o |
palitos	p a l i t o s |
tiramos	t i r a m o s |
donaire	d o n a i r e |
cortesanía	c o r t e s a n í a |
dominios	d o m i n i o s |
play	p l a y |
correremos	c o r r e r e m o s |
jugamos	j u g a m o s |
esparcido	e s p a r c i d o |
cemento	c e m e n t o |
control	c o n t r o l |
perdóname	p e r d ó n a m e |
pedido	p e d i d o |
contrario	c o n t r a r i o |
mentiroso	m e n t i r o s o |
carpetas	c a r p e t a s |
doblada	d o b l a d a |
desembarcamos	d e s e m b a r c a m o s |
lastimera	l a s t i m e r a |
limosna	l i m o s n a |
indefinible	i n d e f i n i b l e |
amar	a m a r |
dale	d a l e |
cuerda	c u e r d a |
rana	r a n a |
anduvimos	a n d u v i m o s |
ganarlas	g a n a r l a s |
hernán	h e r n á n |
cortés	c o r t é s |
confesase	c o n f e s a s e |
celosos	c e l o s o s |
glorias	g l o r i a s |
admiradores	a d m i r a d o r e s |
fidelísimos	f i d e l í s i m o s |
ilustres	i l u s t r e s |
pizza	p i z z a |
cogedlo	c o g e d l o |
despertando	d e s p e r t a n d o |
testeros	t e s t e r o s |
retrato	r e t r a t o |
marcharse	m a r c h a r s e |
mide	m i d e |
hazme	h a z m e |
entendido	e n t e n d i d o |
conseguirá	c o n s e g u i r á |
deshizo	d e s h i z o |
comentos	c o m e n t o s |
adonis	a d o n i s |
precisamente	p r e c i s a m e n t e |
fueron	f u e r o n |
éstas	é s t a s |
chiquillería	c h i q u i l l e r í a |
ponía	p o n í a |
perfecta	p e r f e c t a |
satisfecho	s a t i s f e c h o |
llevar	l l e v a r |
borde	b o r d e |
tirarme	t i r a r m e |
cascada	c a s c a d a |
actitudes	a c t i t u d e s |
ídolo	í d o l o |
mátame	m á t a m e |
cazador	c a z a d o r |
inclinó	i n c l i n ó |
tristemente	t r i s t e m e n t e |
equivocamos	e q u i v o c a m o s |
parar	p a r a r |
aeropuerto	a e r o p u e r t o |
hablase	h a b l a s e |
inglés	i n g l é s |
chino	c h i n o |
decirme	d e c i r m e |
cabecera	c a b e c e r a |
apasionada	a p a s i o n a d a |
contrita	c o n t r i t a |
laboratorio	l a b o r a t o r i o |
agradecidos	a g r a d e c i d o s |
caníbales	c a n í b a l e s |
reunimos	r e u n i m o s |
continuamos	c o n t i n u a m o s |
ruta	r u t a |
arenales	a r e n a l e s |
caballerangos	c a b a l l e r a n g o s |
ensillasen	e n s i l l a s e n |
calcetín	c a l c e t í n |
usan	u s a n |
apps	a p p s |
aumentada	a u m e n t a d a |
entere	e n t e r e |
crema	c r e m a |
protectora	p r o t e c t o r a |
cojín	c o j í n |
despedirse	d e s p e d i r s e |
despedido	d e s p e d i d o |
máxima	m á x i m a |
velocidad	v e l o c i d a d |
encuentras	e n c u e n t r a s |
depilatoria	d e p i l a t o r i a |
recuento	r e c u e n t o |
hable	h a b l e |
imprime	i m p r i m e |
copistería	c o p i s t e r í a |
retirada	r e t i r a d a |
victoria	v i c t o r i a |
volved	v o l v e d |
vuestras	v u e s t r a s |
alterada	a l t e r a d a |
superficie	s u p e r f i c i e |
enfermedad	e n f e r m e d a d |
prats	p r a t s |
animarles	a n i m a r l e s |
protege	p r o t e g e |
sandra	s a n d r a |
bajas	b a j a s |
pintura	p i n t u r a |
volanta	v o l a n t a |
llevaba	l l e v a b a |
acuosidad	a c u o s i d a d |
ocultas	o c u l t a s |
revoloteo	r e v o l o t e o |
azules	a z u l e s |
bordadas	b o r d a d a s |
mareado	m a r e a d o |
den	d e n |
interrogué	i n t e r r o g u é |
diabólicamente	d i a b ó l i c a m e n t e |
catorce	c a t o r c e |
impulsivamente	i m p u l s i v a m e n t e |
enamorada	e n a m o r a d a |
descubríles	d e s c u b r í l e s |
retirados	r e t i r a d o s |
respirable	r e s p i r a b l e |
máximo	m á x i m o |
camisa	c a m i s a |
política	p o l í t i c a |
sables	s a b l e s |
aroma	a r o m a |
anís	a n í s |
arregle	a r r e g l e |
magnetismo	m a g n e t i s m o |
electromagnetismo	e l e c t r o m a g n e t i s m o |
acostumbrando	a c o s t u m b r a n d o |
olor	o l o r |
contactar	c o n t a c t a r |
pajarito	p a j a r i t o |
cantando	c a n t a n d o |
tomarnos	t o m a r n o s |
demiurgo	d e m i u r g o |
sensible	s e n s i b l e |
textura	t e x t u r a |
oblea	o b l e a |
muelle	m u e l l e |
finales	f i n a l e s |
vestidos	v e s t i d o s |
componían	c o m p o n í a n |
marcial	m a r c i a l |
desfilan	d e s f i l a n |
torres	t o r r e s |
alcoba	a l c o b a |
penetró	p e n e t r ó |
rayo	r a y o |
juguetón	j u g u e t ó n |
darnos	d a r n o s |
deputamadre	d e p u t a m a d r e |
heme	h e m e |
ilumina	i l u m i n a |
plácida	p l á c i d a |
plenilunio	p l e n i l u n i o |
profundo	p r o f u n d o |
jadeante	j a d e a n t e |
fecundada	f e c u n d a d a |
colgándose	c o l g á n d o s e |
bebía	b e b í a |
ruidoso	r u i d o s o |
jaleo	j a l e o |
olés	o l é s |
palmadas	p a l m a d a s |
taifa	t a i f a |
luterana	l u t e r a n a |
asomaba	a s o m a b a |
lectura	l e c t u r a |
inútil	i n ú t i l |
maestros	m a e s t r o s |
organiza	o r g a n i z a |
seminario	s e m i n a r i o |
torelló	t o r e l l ó |
tenías	t e n í a s |
poquito	p o q u i t o |
homenajearán	h o m e n a j e a r á n |
víctimas	v í c t i m a s |
ébola	é b o l a |
salgamos	s a l g a m o s |
despedidos	d e s p e d i d o s |
sensación	s e n s a c i ó n |
pavoroso	p a v o r o s o |
siniestro	s i n i e s t r o |
nacida	n a c i d a |
viana	v i a n a |
prior	p r i o r |
harto	h a r t o |
madrugado	m a d r u g a d o |
encierro	e n c i e r r o |
dedica	d e d i c a |
arpa	a r p a |
recoger	r e c o g e r |
viste	v i s t e |
permanecimos	p e r m a n e c i m o s |
merced	m e r c e d |
dinamarca	d i n a m a r c a |
ignorante	i g n o r a n t e |
transparente	t r a n s p a r e n t e |
dobleces	d o b l e c e s |
dispuesto	d i s p u e s t o |
perdonar	p e r d o n a r |
conmovía	c o n m o v í a |
acampada	a c a m p a d a |
cedro	c e d r o |
enterrado	e n t e r r a d o |
verdosos	v e r d o s o s |
bronces	b r o n c e s |
emisoras	e m i s o r a s |
evangelistas	e v a n g e l i s t a s |
jo	j o |
yogur	y o g u r |
estuvimos	e s t u v i m o s |
cocodrilos	c o c o d r i l o s |
entraron	e n t r a r o n |
perezosamente	p e r e z o s a m e n t e |
colérica	c o l é r i c a |
vanos	v a n o s |
esfuerzos	e s f u e r z o s |
ahuyentarle	a h u y e n t a r l e |
sabéis	s a b é i s |
instrucciones	i n s t r u c c i o n e s |
soltamos	s o l t a m o s |
pulmones	p u l m o n e s |
golpes	g o l p e s |
kárate	k á r a t e |
nena	n e n a |
llorosa	l l o r o s a |
gritó	g r i t ó |
gustos	g u s t o s |
besarla	b e s a r l a |
sensual	s e n s u a l |
mandada	m a n d a d a |
edificar	e d i f i c a r |
virrey	v i r r e y |
encierre	e n c i e r r e |
decidirlo	d e c i d i r l o |
solito	s o l i t o |
dehesa	d e h e s a |
grava	g r a v a |
sandalias	s a n d a l i a s |
imaginación	i m a g i n a c i ó n |
excitada	e x c i t a d a |
comunicaba	c o m u n i c a b a |
nervios	n e r v i o s |
caemos	c a e m o s |
abandonen	a b a n d o n e n |
casó	c a s ó |
ocasional	o c a s i o n a l |
ocultar	o c u l t a r |
velar	v e l a r |
quererte	q u e r e r t e |
mírate	m í r a t e |
plantas	p l a n t a s |
exóticas	e x ó t i c a s |
raros	r a r o s |
afroditas	a f r o d i t a s |
penetrantes	p e n e t r a n t e s |
lento	l e n t o |
programa	p r o g r a m a |
aguantar	a g u a n t a r |
barbas	b a r b a s |
azafrán	a z a f r á n |
dispares	d i s p a r e s |
minibar	m i n i b a r |
miércoles	m i é r c o l e s |
decirlo	d e c i r l o |
ocio	o c i o |
tedio	t e d i o |
disfrace	d i s f r a c e |
poned	p o n e d |
conservaron	c o n s e r v a r o n |
amada	a m a d a |
milla	m i l l a |
arriando	a r r i a n d o |
trapo	t r a p o |
hicieran	h i c i e r a n |
láseres	l á s e r e s |
iluminan	i l u m i n a n |
urgentemente	u r g e n t e m e n t e |
cuente	c u e n t e |
puta	p u t a |
experimenté	e x p e r i m e n t é |
impulso	i m p u l s o |
palidecer	p a l i d e c e r |
cerró	c e r r ó |
pobrecillas	p o b r e c i l l a s |
afligidas	a f l i g i d a s |
achacosas	a c h a c o s a s |
necoxtla	n e c o x t l a |
pugilatos	p u g i l a t o s |
grotescos	g r o t e s c o s |
pueriles	p u e r i l e s |
hacíamos	h a c í a m o s |
decirse	d e c i r s e |
tronada	t r o n a d a |
lejana	l e j a n a |
cercana	c e r c a n a |
rascarse	r a s c a r s e |
calambrazo	c a l a m b r a z o |
flato	f l a t o |
despiertas	d e s p i e r t a s |
salón	s a l ó n |
descansa	d e s c a n s a |
sexo	s e x o |
cubierto	c u b i e r t o |
cicatrices	c i c a t r i c e s |
cancela	c a n c e l a |
nacer	n a c e r |
pintar	p i n t a r |
ponemos	p o n e m o s |
perejil	p e r e j i l |
observe	o b s e r v e |
levanté	l e v a n t é |
cerrar	c e r r a r |
quimérica	q u i m é r i c a |
felicidades	f e l i c i d a d e s |
quedarse	q u e d a r s e |
imploraban	i m p l o r a b a n |
además	a d e m á s |
abuelo	a b u e l o |
entrenar	e n t r e n a r |
letrinas	l e t r i n a s |
biblia	b i b l i a |
aterrizado	a t e r r i z a d o |
rasco	r a s c o |
sardina	s a r d i n a |
sirena	s i r e n a |
colgados	c o l g a d o s |
chulo	c h u l o |
calles	c a l l e s |
rebosar	r e b o s a r |
navidades	n a v i d a d e s |
esquivarle	e s q u i v a r l e |
érame	é r a m e |
forzoso	f o r z o s o |
contemplar	c o n t e m p l a r |
mudas	m u d a s |
ondas	o n d a s |
tixul	t i x u l |
devolverle	d e v o l v e r l e |
olvidas	o l v i d a s |
sacrificarse	s a c r i f i c a r s e |
hebe	h e b e |
ganimedes	g a n i m e d e s |
tomillo	t o m i l l o |
hinojo	h i n o j o |
feli	f e l i |
aquagym	a q u a g y m |
tracería	t r a c e r í a |
apartándose	a p a r t á n d o s e |
medios	m e d i o s |
metro	m e t r o |
sweet	s w e e t |
pachá	p a c h á |
hiperpotencia	h i p e r p o t e n c i a |
genio	g e n i o |
pesado	p e s a d o |
congrega	c o n g r e g a |
estate	e s t a t e |
progresa	p r o g r e s a |
atreve	a t r e v e |
músico	m ú s i c o |
pago	p a g o |
abona	a b o n a |
bibi	b i b i |
pintaba	p i n t a b a |
interesante	i n t e r e s a n t e |
aerogenerador	a e r o g e n e r a d o r |
bondad	b o n d a d |
adquiere	a d q u i e r e |
autoridad	a u t o r i d a d |
astilla	a s t i l l a |
celebremos	c e l e b r e m o s |
terreno	t e r r e n o |
blandura	b l a n d u r a |
extraordinaria	e x t r a o r d i n a r i a |
bicho	b i c h o |
retrasado	r e t r a s a d o |
debido	d e b i d o |
manuel	m a n u e l |
envenenado	e n v e n e n a d o |
charco	c h a r c o |
digamos	d i g a m o s |
distraje	d i s t r a j e |
bridas	b r i d a s |
paula	p a u l a |
iguales	i g u a l e s |
julio	j u l i o |
pirineo	p i r i n e o |
croquetas	c r o q u e t a s |
singular	s i n g u l a r |
altera	a l t e r a |
acera	a c e r a |
adaptada	a d a p t a d a |
cochecitos	c o c h e c i t o s |
humanitaria	h u m a n i t a r i a |
lindar	l i n d a r |
carrito	c a r r i t o |
cuerpos	c u e r p o s |
enredar	e n r e d a r |
construir	c o n s t r u i r |
cuántos	c u á n t o s |
recordado	r e c o r d a d o |
puentes	p u e n t e s |
navío	n a v í o |
genovés	g e n o v é s |
piensen	p i e n s e n |
emigración	e m i g r a c i ó n |
recordaba	r e c o r d a b a |
temporada	t e m p o r a d a |
disfrutéis	d i s f r u t é i s |
vacíe	v a c í e |
leña	l e ñ a |
personal	p e r s o n a l |
correos	c o r r e o s |
colectivos	c o l e c t i v o s |
sufridos	s u f r i d o s |
ordenas	o r d e n a s |
fúndele	f ú n d e l e |
terrible	t e r r i b l e |
elegido	e l e g i d o |
invitados	i n v i t a d o s |
cantante	c a n t a n t e |
pets	p e t s |
luís	l u í s |
juntan	j u n t a n |
próximo	p r ó x i m o |
viernes	v i e r n e s |
andas	a n d a s |
diré	d i r é |
llora	l l o r a |
estimar	e s t i m a r |
diamante	d i a m a n t e |
zumo	z u m o |
uva	u v a |
aro	a r o |
porte	p o r t e |
modales	m o d a l e s |
abren	a b r e n |
puertas	p u e r t a s |
agrado	a g r a d o |
cuantos	c u a n t o s |
bienes	b i e n e s |
proporciona	p r o p o r c i o n a |
calla	c a l l a |
otorga	o t o r g a |
aterrizaje	a t e r r i z a j e |
ojo	o j o |
engorda	e n g o r d a |
possets	p o s s e t s |
pasaba	p a s a b a |
túneles	t ú n e l e s |
estruendo	e s t r u e n d o |
horroroso	h o r r o r o s o |
contar	c o n t a r |
conectarán	c o n e c t a r á n |
directo	d i r e c t o |
rueda	r u e d a |
prensa	p r e n s a |
empezaste	e m p e z a s t e |
llorar	l l o r a r |
moto	m o t o |
cabía	c a b í a |
ahogado	a h o g a d o |
tapan	t a p a n |
pozo	p o z o |
ambiente	a m b i e n t e |
ambos	a m b o s |
teníamos	t e n í a m o s |
comernos	c o m e r n o s |
casta	c a s t a |
galgo	g a l g o |
rabilargo	r a b i l a r g o |
entran	e n t r a n |
montañas	m o n t a ñ a s |
francia	f r a n c i a |
archivo	a r c h i v o |
corregirlo	c o r r e g i r l o |
josés	j o s é s |
juanes	j u a n e s |
casas	c a s a s |
desdeñosa	d e s d e ñ o s a |
ardientes	a r d i e n t e s |
vago	v a g o |
sobresalto	s o b r e s a l t o |
moverte	m o v e r t e |
maria	m a r i a |
decidió	d e c i d i ó |
voluntaria	v o l u n t a r i a |
vayan	v a y a n |
lugares	l u g a r e s |
esquina	e s q u i n a |
seguiré	s e g u i r é |
conciliar	c o n c i l i a r |
conseguirlo	c o n s e g u i r l o |
desnudo	d e s n u d o |
corría	c o r r í a |
australia	a u s t r a l i a |
espejo	e s p e j o |
cojas	c o j a s |
hostia	h o s t i a |
mercado	m e r c a d o |
compra	c o m p r a |
hijito	h i j i t o |
aspiraba	a s p i r a b a |
embriagaba	e m b r i a g a b a |
culpable	c u l p a b l e |
placas	p l a c a s |
corteza	c o r t e z a |
terrestre	t e r r e s t r e |
soltar	s o l t a r |
seguida	s e g u i d a |
escorzo	e s c o r z o |
busto	b u s t o |
retrocedió	r e t r o c e d i ó |
colérico	c o l é r i c o |
gordo	g o r d o |
flotando	f l o t a n d o |
llenitas	l l e n i t a s |
finalmente	f i n a l m e n t e |
suelte	s u e l t e |
viva	v i v a |
ok	o k |
estrellas	e s t r e l l a s |
contado	c o n t a d o |
siglo	s i g l o |
trágico	t r á g i c o |
desayuna	d e s a y u n a |
airado	a i r a d o |
volante	v o l a n t e |
lamborghini	l a m b o r g h i n i |
pantera	p a n t e r a |
sábanas	s á b a n a s |
invitó	i n v i t ó |
cesar	c e s a r |
muchacho	m u c h a c h o |
saudí	s a u d í |
acuesta	a c u e s t a |
meado	m e a d o |
amanece	a m a n e c e |
prat	p r a t |
llobregat	l l o b r e g a t |
municipio	m u n i c i p i o |
abundante	a b u n d a n t e |
enseñe	e n s e ñ e |
trucos	t r u c o s |
cargado	c a r g a d o |
paellas	p a e l l a s |
ganador	g a n a d o r |
configurar	c o n f i g u r a r |
escáner	e s c á n e r |
john	j o h n |
quedamos	q u e d a m o s |
jabalí	j a b a l í |
cebra	c e b r a |
sarcófago	s a r c ó f a g o |
contenía	c o n t e n í a |
cadáver	c a d á v e r |
origen	o r i g e n |
receta	r e c e t a |
empiezas	e m p i e z a s |
padecer	p a d e c e r |
anterior	a n t e r i o r |
ciego	c i e g o |
sirvió	s i r v i ó |
apostado	a p o s t a d o |
pesan	p e s a n |
habéis	h a b é i s |
sudado	s u d a d o |
mercenario	m e r c e n a r i o |
imponiendo	i m p o n i e n d o |
sirvo	s i r v o |
apártate	a p á r t a t e |
diría	d i r í a |
pedo	p e d o |
mandarlas	m a n d a r l a s |
junio	j u n i o |
manden	m a n d e n |
enviar	e n v i a r |
sendero	s e n d e r o |
tiendas	t i e n d a s |
chinos	c h i n o s |
campanadas	c a m p a n a d a s |
cochecito	c o c h e c i t o |
moderno	m o d e r n o |
dejando	d e j a n d o |
hijas	h i j a s |
cortes	c o r t e s |
pretender	p r e t e n d e r |
crucé	c r u c é |
comercial	c o m e r c i a l |
embarazada	e m b a r a z a d a |
merezca	m e r e z c a |
pierdas	p i e r d a s |
examen	e x a m e n |
matarlo	m a t a r l o |
padrazo	p a d r a z o |
pascuas	p a s c u a s |
gimió	g i m i ó |
acabaron	a c a b a r o n |
sutilezas	s u t i l e z a s |
york	y o r k |
vayas	v a y a s |
vuelva	v u e l v a |
teniente	t e n i e n t e |
complot	c o m p l o t |
involucrar	i n v o l u c r a r |
recibida	r e c i b i d a |
nobles	n o b l e s |
sonríes	s o n r í e s |
escapando	e s c a p a n d o |
honra	h o n r a |
acreedor	a c r e e d o r |
superar	s u p e r a r |
etapa	e t a p a |
ambrosio	a m b r o s i o |
dadme	d a d m e |
barba	b a r b a |
embustero	e m b u s t e r o |
falda	f a l d a |
cuadros	c u a d r o s |
tahúres	t a h ú r e s |
diplomáticos	d i p l o m á t i c o s |
subirlas	s u b i r l a s |
economía	e c o n o m í a |
emocionado	e m o c i o n a d o |
llamear	l l a m e a r |
instintivamente	i n s t i n t i v a m e n t e |
volví	v o l v í |
ingeniería	i n g e n i e r í a |
cabello	c a b e l l o |
destrenzándose	d e s t r e n z á n d o s e |
casquillo	c a s q u i l l o |
fusil	f u s i l |
aviso	a v i s o |
formales	f o r m a l e s |
discretos	d i s c r e t o s |
espere	e s p e r e |
pino	p i n o |
césped	c é s p e d |
permite	p e r m i t e |
ayudo	a y u d o |
posibilidades	p o s i b i l i d a d e s |
remotas	r e m o t a s |
derramaba	d e r r a m a b a |
ideal	i d e a l |
buscarlas	b u s c a r l a s |
fátima	f á t i m a |
llamaba	l l a m a b a |
moza	m o z a |
rompió	r o m p i ó |
balcones	b a l c o n e s |
estuviesen	e s t u v i e s e n |
pasamos	p a s a m o s |
faldeándola	f a l d e á n d o l a |
vientre	v i e n t r e |
procesador	p r o c e s a d o r |
guiones	g u i o n e s |
hechas	h e c h a s |
rozado	r o z a d o |
alga	a l g a |
descansan	d e s c a n s a n |
sentados	s e n t a d o s |
rocas	r o c a s |
veintidós	v e i n t i d ó s |
pajilleros	p a j i l l e r o s |
saques	s a q u e s |
desprecio	d e s p r e c i o |
suceda	s u c e d a |
cúbrelo	c ú b r e l o |
hoguera	h o g u e r a |
ajustaron	a j u s t a r o n |
cinchas	c i n c h a s |
repararon	r e p a r a r o n |
intervención	i n t e r v e n c i ó n |
entidad	e n t i d a d |
financiera	f i n a n c i e r a |
balón	b a l ó n |
oxígeno	o x í g e n o |
olvidar	o l v i d a r |
crítica	c r í t i c a |
literaria	l i t e r a r i a |
endogámica	e n d o g á m i c a |
feminista	f e m i n i s t a |
indecisa	i n d e c i s a |
trémulos	t r é m u l o s |
requiere	r e q u i e r e |
gestión	g e s t i ó n |
cuidadosa	c u i d a d o s a |
arriesgó	a r r i e s g ó |
críos	c r í o s |
tiznados	t i z n a d o s |
esbeltos	e s b e l t o s |
diablos	d i a b l o s |
echándome	e c h á n d o m e |
impulsó	i m p u l s ó |
callejuela	c a l l e j u e l a |
salmodiada	s a l m o d i a d a |
sacerdotisa	s a c e r d o t i s a |
rusas	r u s a s |
depilan	d e p i l a n |
pez	p e z |
desesperanza	d e s e s p e r a n z a |
religiones	r e l i g i o n e s |
cortejo	c o r t e j o |
servidores	s e r v i d o r e s |
fastidian	f a s t i d i a n |
porsche	p o r s c h e |
audi	a u d i |
servilletas	s e r v i l l e t a s |
psicópata	p s i c ó p a t a |
manual	m a n u a l |
rompen	r o m p e n |
feta	f e t a |
andele	a n d e l e |
despertares	d e s p e r t a r e s |
aurora	a u r o r a |
triunfantes	t r i u n f a n t e s |
barato	b a r a t o |
daremos	d a r e m o s |
imperio	i m p e r i o |
brión	b r i ó n |
efebos	e f e b o s |
teutón	t e u t ó n |
wagner	w a g n e r |
subidos	s u b i d o s |
cofa	c o f a |
mesana	m e s a n a |
cantaban	c a n t a b a n |
relingando	r e l i n g a n d o |
aparejo	a p a r e j o |
velón	v e l ó n |
torneados	t o r n e a d o s |
garrigues	g a r r i g u e s |
enclave	e n c l a v e |
insignificante	i n s i g n i f i c a n t e |
admirar	a d m i r a r |
linajuda	l i n a j u d a |
razones	r a z o n e s |
brava	b r a v a |
ayudarán	a y u d a r á n |
absolver	a b s o l v e r |
sardana	s a r d a n a |
obligada	o b l i g a d a |
flautín	f l a u t í n |
sangrientos	s a n g r i e n t o s |
sombríos	s o m b r í o s |
bellos	b e l l o s |
fresquita	f r e s q u i t a |
izamos	i z a m o s |
incluidas	i n c l u i d a s |
escandalosas	e s c a n d a l o s a s |
susana	s u s a n a |
batió	b a t i ó |
récord	r é c o r d |
atletismo	a t l e t i s m o |
ajá	a j á |
detrás	d e t r á s |
descendía	d e s c e n d í a |
canoa	c a n o a |
remaba	r e m a b a |
recibo	r e c i b o |
escarmienta	e s c a r m i e n t a |
ajena	a j e n a |
acaparador	a c a p a r a d o r |
regaliz	r e g a l i z |
perdonado	p e r d o n a d o |
resorte	r e s o r t e |
cerróme	c e r r ó m e |
llevabas	l l e v a b a s |
peligrosos	p e l i g r o s o s |
picadura	p i c a d u r a |
adormecían	a d o r m e c í a n |
refiriéndome	r e f i r i é n d o m e |
matado	m a t a d o |
pinzas	p i n z a s |
abatirme	a b a t i r m e |
replicó	r e p l i c ó |
arranque	a r r a n q u e |
prendí	p r e n d í |
cohete	c o h e t e |
lavo	l a v o |
pasándome	p a s á n d o m e |
cálzame	c á l z a m e |
daba	d a b a |
rayaba	r a y a b a |
kent	k e n t |
comedor	c o m e d o r |
cogernos	c o g e r n o s |
sibilas	s i b i l a s |
culto	c u l t o |
lúbrico	l ú b r i c o |
sangriento	s a n g r i e n t o |
quedé	q u e d é |
mirándole	m i r á n d o l e |
fijamente	f i j a m e n t e |
compadezco	c o m p a d e z c o |
desgraciados	d e s g r a c i a d o s |
engañados	e n g a ñ a d o s |
rozando	r o z a n d o |
volaban	v o l a b a n |
torpes	t o r p e s |
bandadas	b a n d a d a s |
feos	f e o s |
pajarracos	p a j a r r a c o s |
batallas	b a t a l l a s |
gloriosas	g l o r i o s a s |
sonoro	s o n o r o |
borracho	b o r r a c h o |
arrimarse	a r r i m a r s e |
ijares	i j a r e s |
flácidos	f l á c i d o s |
ensangrentados	e n s a n g r e n t a d o s |
pudiera	p u d i e r a |
pluma	p l u m a |
fantoche	f a n t o c h e |
barbacoa	b a r b a c o a |
cuán	c u á n |
aparecen	a p a r e c e n |
lejanos	l e j a n o s |
salieron	s a l i e r o n |
arduo	a r d u o |
estés	e s t é s |
prolijidad	p r o l i j i d a d |
engendrar	e n g e n d r a r |
fastidio	f a s t i d i o |
créame	c r é a m e |
pagarse	p a g a r s e |
capellán	c a p e l l á n |
manda	m a n d a |
nudo	n u d o |
llano	l l a n o |
arreglado	a r r e g l a d o |
peli	p e l i |
ofrecerme	o f r e c e r m e |
gemma	g e m m a |
kleenex	k l e e n e x |
elegidos	e l e g i d o s |
caprichos	c a p r i c h o s |
entiendes	e n t i e n d e s |
recibes	r e c i b e s |
repito	r e p i t o |
encontraste	e n c o n t r a s t e |
llevan	l l e v a n |
remos	r e m o s |
juegue	j u e g u e |
arreo	a r r e o |
carpaccio	c a r p a c c i o |
baraja	b a r a j a |
comenzó	c o m e n z ó |
echada	e c h a d a |
fieramente	f i e r a m e n t e |
armada	a r m a d a |
faca	f a c a |
ancha	a n c h a |
recuerdo	r e c u e r d o |
tercer	t e r c e r |
tuteaba	t u t e a b a |
napolitano	n a p o l i t a n o |
fascinados	f a s c i n a d o s |
látigo	l á t i g o |
diego	d i e g o |
bermúdez	b e r m ú d e z |
ensillen	e n s i l l e n |
menear	m e n e a r |
arroz	a r r o z |
pegue	p e g u e |
atar	a t a r |
desea	d e s e a |
errores	e r r o r e s |
relaciones	r e l a c i o n e s |
salvador	s a l v a d o r |
azotea	a z o t e a |
bájame	b á j a m e |
extra	e x t r a |
tirarás	t i r a r á s |
vagaba	v a g a b a |
rezo	r e z o |
tendréis	t e n d r é i s |
faltan	f a l t a n |
último	ú l t i m o |
traidor	t r a i d o r |
marido	m a r i d o |
tendióse	t e n d i ó s e |
locutores	l o c u t o r e s |
clásico	c l á s i c o |
energúmenos	e n e r g ú m e n o s |
siervo	s i e r v o |
parecióme	p a r e c i ó m e |
ironía	i r o n í a |
ayudes	a y u d e s |
recuperar	r e c u p e r a r |
fe	f e |
locos	l o c o s |
levantarse	l e v a n t a r s e |
comunidades	c o m u n i d a d e s |
eremíticas	e r e m í t i c a s |
escasas	e s c a s a s |
simpática	s i m p á t i c a |
hallaban	h a l l a b a n |
suyos	s u y o s |
bajamos	b a j a m o s |
llegará	l l e g a r á |
dejarme	d e j a r m e |
intemperie	i n t e m p e r i e |
atadas	a t a d a s |
santiguó	s a n t i g u ó |
